# random QPEC data from matlab

param n := 50   ;
param m := 60   ;
param p := 50   ;

param	 	A
	:                 1                     2                     3  :=

	:                43                    44                    45  :=
	1     -0.2854985230487945     -2.887939296134545    -0.2081505516567659
	2     -0.8968627380125764     -3.105196302140287     -1.609037917525983
	3       2.164590707183392      2.501553089547398      2.561799174883124
	4      0.5303610067226359     -2.590308704009888      3.334874186539219
	5     -0.7483534538099144     0.1399608558553984     -2.109971335515874
	6      -3.551025890523063     -3.526652331200545   -0.02367449200484062
	7       2.231804355730785    -0.3718630256761859     0.3410712741009858
	8      0.8992866166619482      1.721417718448946      2.113203915899121
	9       3.441929020704261      -2.68886530671462      1.027377124442253
	10     0.8828111557234983     -2.671515983104261     0.6193015052096795
	11        2.9343188049521     -2.047615839517988     -3.051108621028853
	12    -0.3789368663966624     -2.163355643364126      3.719740656701685
	13      1.887813915064539      3.781105667338656     -3.756296109098569
	14     -1.519271122766516     0.3982978880190959     -2.726030529206561
	15     0.6329752341162838       2.32079949775836       -3.0658485064429
	16     -2.696962914633867     -1.200272949010297     0.5105031478694633
	17      2.586097646251979     -1.680559591109568      1.644741133381665
	18      1.582627198474747      2.894834300165594     0.1739800030419731
	19     -0.010470605976169        3.9499291165557     -2.674272046043737
	20     0.9291325489772406     -1.598410925081671     -2.801600288370921
	21     -1.225072181289849    0.06709853877304539      2.950422351869111
	22     0.1595755374499834     0.4412135427005976     -3.546710426492519
	23     0.3719642597249342      1.916006418406009       3.15742796870278
	24      3.254183170825205        2.3328529082647     -3.719778339131892
	25     -2.358856310709177    -0.1316216569564457      3.799912405973393
	26     -3.124756591905109      1.087060010358607      1.277443569356468
	27     -3.218640814959431      2.349240881454397       -1.6046303452441
	28      1.580093371968096     -2.906478017667729    -0.2175126295264391
	29     -1.034414126101542     -2.397230090200497    -0.4652322742481876
	30     -2.412076531609736     -3.908240529819476     -2.995283437468589
	31     0.6158895961745632     0.2080764644277346     0.8805546390937415
	32    -0.7110153128313819       2.59469712623457     -3.872839146607326
	33     -2.688183846528004      0.976438134340901     -1.043147552016624
	34      1.702164752591792    -0.5339752754853548     -1.975337409822526
	35     -1.243870538334221     -3.299019900663963      -3.23585775660833
	36      1.147125802209626    -0.1030655998308121   -0.06235857710077353
	37    -0.2310873828063467     -2.438914914233541      1.589423214477239
	38     -1.514114432128709      2.607353752972626      1.004144400509611
	39        3.6879935883612      0.141021329005774      2.507100801570957
	40     -2.211366001882673       1.25050694933387     -1.874783516964047
	41     -3.514368655883719      2.643328355837593     -2.249557953383825
	42     -1.874442319064895      1.171625421070937     -2.456088674508051
	43    -0.9110173663893399    -0.7148631233233766      2.791170032320609
	44     -1.423611637204537      1.349413942354871     -1.776647876510531
	45    -0.8536819397649267      1.803907789770972      3.744272975604275
	46     -1.582588546973156     -1.663633398652325     -3.222616677156053
	47      1.726998818600759     0.1150335068700326      3.967491527356048
	48    -0.5504858430843869      2.426464143969954    -0.9236035310924655
	49     0.7528968802797475   -0.04122943527881251      1.129401956483696
	50      3.226947600141783      3.575035258090287      3.062765537782539

	:                46                    47                    48  :=
	1      0.9205394559696272      1.704770128505862     -2.462036631036434
	2        3.04232346442418      -2.88493835536296      1.296033813477911
	3       1.068378404129745      0.794806201943393     -3.016333333843661
	4       2.859679887820767     -3.661345116711148     0.2172526440928539
	5       1.482488076931624      1.653498614340159     -1.902474405986844
	6      -3.844455026493732     -2.207896405047259      1.168664891913843
	7      -1.683539454926079    -0.7985067672742914     -3.553753708777778
	8     -0.7935108512717495      2.280391036035796      1.675703598812937
	9      0.9690049034306929     0.4806684597990403      3.092775848913505
	10      1.902049427955618     -3.182487168425207      3.129828625729062
	11     -1.419312079571011      3.845342920918483      -1.59958619521724
	12     0.9890932825247534      1.189328572741001      -2.11967301059186
	13     -1.116519054177686      2.284325120835105    -0.3855119979889912
	14     -2.132941434408096     -2.953168735368273      3.332443965840702
	15     -3.926073558198409       3.69793461466719     -2.881491544539933
	16     -3.510553815737062      1.102370227012593      2.377370746088019
	17     -1.830916128805803      1.642695383227349      1.024979947383131
	18      2.484176759078841      3.809729127983135      1.554120957055526
	19     -2.129159359047904     -2.788350412115157      3.396418036311655
	20    -0.3517999900951629     -2.522885729489017     -1.170107257388071
	21    -0.7865465291068996     -2.900756732181981    -0.2222444114847923
	22    -0.7598018975161969     -1.899475898297663    -0.3818845725595992
	23     -1.162151583099303      2.026916531190402    -0.7986145090567733
	24     0.9436263420079847     0.2946940146513022     -2.471893716025873
	25      2.222966574495295      3.794497902711702      1.980827710373722
	26    -0.9987729132223304     0.9394318493914033   -0.007818007978726005
	27     -2.224367393435884      1.043927782109332      1.030878327299288
	28      -1.46422201311141     -3.488108707512988     0.8631843652435958
	29    -0.3378003233016527      1.872199040447666     -2.505102908186433
	30     -2.039992825121889     -3.475157504148283      2.791434553560274
	31    -0.5205557160815291     -3.372537334982194      3.335887305111263
	32      3.209476346804836     -2.544743262647907       1.71404690828912
	33    -0.4761035073981246     -3.865630696781392      1.031387203264535
	34     -3.322623129874446     -3.591578954509627    -0.8985708273786717
	35      1.782814438504796     -2.562688508063402      3.496885036547786
	36     -3.803892196521336      2.635051024914455      2.041229901840318
	37      2.735609975076135      1.619949479078056     -3.256113822669147
	38     -2.186109970853048      2.093708218454109     -3.394811891850965
	39     -1.310903108781569      3.485171848382868      1.546897086453491
	40     -3.716900767461446      2.715306855373052     -1.336414057333781
	41     -1.921562799880115      1.434736240406223    -0.7682467011553347
	42     -2.358066399071256     -1.915184271402717    0.01821273757815156
	43      -1.89328957400446    -0.7783871471350068     0.8911983445744349
	44      3.699707075396501     -0.383239332655438     -3.457468262608253
	45      2.191703882842015     -2.776165636403169      3.202445435359183
	46      2.024582665377363      1.542551832353966      1.180350338976249
	47     -1.762856308391304      1.338000241554663     -1.189883533803851
	48      1.925778539605385      3.505108246709399     -2.642428268348234
	49      1.345196662584182     -1.558308682080598      3.963523993280448
	50      1.154258961973093     -1.782543554123698      3.990374878246435

	:                 49                    50   := 
	1        3.47207855809211      2.252678991405434   
	2       2.802997748893258      2.731500817056534   
	3      0.6052581117971476     -2.467858665984612   
	4      0.6712084543893218     -0.923635949267521   
	5      -2.164245194158843    -0.6031943292683977   
	6       1.278353904334583     -1.115367455551556   
	7      -3.218875871428202     -0.516366044901019   
	8       3.678765536763304     -2.153703909635883   
	9       3.033251500268345    -0.7297528821698576   
	10    -0.1149832475642869       0.27669696434854   
	11     -2.886403854803991     -1.420335960558288   
	12      3.623305369001439      3.471735629601663   
	13      1.692242163360176      2.131464549984772   
	14     -1.835404650991437    0.07911657232406455   
	15     0.9371156461601133      3.317641965936488   
	16      2.993259503521571     -2.342587781933467   
	17     0.5177968057811704      3.798624503276787   
	18      1.500629694448333    -0.5245299710060269   
	19     -1.698359703568574     0.1830286466665587   
	20     -3.322229604275819    -0.7224750169355056   
	21     -1.018984671549589      3.595491666465088   
	22      2.962700118330898     0.3019215494938097   
	23     -1.105658985142365    -0.5249708741950361   
	24     -1.833363460597973      3.620015106441504   
	25      2.472192968316561      2.719412643273423   
	26     0.6722148957236547      2.083960764858499   
	27   -0.06224250962932842     -1.338496695889495   
	28     -1.162622844534112     -1.886542804282855   
	29     -1.534753573206399      1.306212310405362   
	30      1.285166408623662     -2.404061605887023   
	31      1.321590472207895      -2.45841251716063   
	32      2.684636148551991      -2.73383269557962   
	33      1.553721940197985     -3.237839919270217   
	34    -0.1581758676942369     0.3200736185369593   
	35     -1.072356453211047     -2.629721269582222   
	36      3.467186728940768     -1.697357159074236   
	37    -0.6490705381179316     0.9553215821545002   
	38      2.801307633453144    -0.6137449052129087   
	39     -0.828206626240048     -1.084200046062739   
	40      1.038160920457334     -1.694389402613242   
	41     -3.909153273749459    -0.8761132951430359   
	42      3.828240308382481      2.609648610848022   
	43      1.573318917606138     -3.605101938433884   
	44    0.04049539813788616     -0.807109786121992   
	45      2.728101655160501     0.4381782115086201   
	46      2.466457007557159      2.736303195290556   
	47     -1.150309578968266       3.29859536985709   
	48    -0.7541622696804375      3.246042537000221   
	49     0.2758737979738868      2.338927107786458   
	50    -0.2718816236656916     -3.853901552916564    ;

param	: 	b :=
	1    	   0.294048494093254
	2    	   2.560794419706738
	3    	   5.756499813487856
	4    	   2.102211863222045
	5    	   1.883253961470145
	6    	   14.39230232860972
	7    	   2.030825262301692
	8    	   6.610518357025424
	9    	   7.061375072467063
	10   	   7.947677105996804
	11   	   4.596086285129351
	12   	   4.274484816951685
	13   	   2.216278196370962
	14   	   5.706402265848758
	15   	   3.976627264521108
	16   	   8.150936626972534
	17   	   2.079827684565522
	18   	    5.95981380761613
	19   	   2.927402122627868
	20   	   2.461703021889943
	21   	  0.6632736839465193
	22   	   4.432244120436953
	23   	    1.29922095453165
	24   	   3.624800793887262
	25   	    17.9593028980381
	26   	   1.061073188989697
	27   	   5.309631173842277
	28   	   2.879057155563327
	29   	   10.88056239786759
	30   	   7.037134095741862
	31   	   6.549419990658615
	32   	  0.9011185630534508
	33   	   3.378343367123946
	34   	   2.868254116733327
	35   	    5.06211308373481
	36   	   18.53377732743275
	37   	   1.929438210282993
	38   	   4.260573342167308
	39   	  0.6936780340472471
	40   	   4.711767827294606
	41   	  0.1529562012773023
	42   	   32.99052523421432
	43   	   9.431248474116675
	44   	   6.888397548985294
	45   	   12.07817996799896
	46   	   6.209524083127425
	47   	   13.07725108572677
	48   	   17.24574369148122
	49   	   4.496475728206478
	50   	   3.554836165224056 ;

param	 	N
	:                 1                     2                     3  :=
	1       7.236618041898956      2.938695777803252       6.31725593980566
	2       4.836463835924608      2.555985192301422     0.9479511668499125
	3       4.363966326420599      5.031986320161693      7.661262340494848
	4       1.778355746311985      7.205190381978502      1.278227553602521
	5       4.671098114881103      7.984478967330093      2.032398034398545
	6       3.489183802203856      3.786300833183252      4.199221779192709
	7       3.757142158506098      3.967059531449997      0.561445527247095
	8       4.661812993324387      5.690277584298932      0.658578604996905
	9       6.588059231851318       3.28961356290696      1.445611753070019
	10      5.282678703496335      2.915160446515483      2.783248105650512
	11      1.280093089643982      4.187908369892618      3.892691463371602
	12         4.811832511832      5.273501556026351      0.306383374056988
	13      2.409211839566993      4.833105752917693      1.409656827236008
	14      1.038751674316705      2.056470269999614      7.600880390728173
	15      3.811863570557112      2.175771888579918     0.6569908715125965
	16      5.739438449018842      4.003914490114199       6.45592942017787
	17      6.956138267153912      5.012822430191973      1.424711418740903
	18      0.156984410827903     0.2043896701079401     0.5249300113541778
	19      5.225876691952562      7.231724103947664      6.620714926403103
	20      5.787219948974325      5.891530788227994      1.241988564455228
	21      1.044724290172048      6.631151174701961      3.955292643609722
	22     0.3581386853346428      3.673909751904306      4.275515676007918
	23      2.347060348200847      1.625417534575986       1.06294541657283
	24     0.8117434449952392      2.050387254792802     0.2827607816761299
	25      5.850860199445111      3.346477541309073      5.717733315689392
	26      3.422807321316386      3.534586252961383      3.354565528684704
	27      2.027123678134273      6.710715824656203      5.682208480839239
	28    0.04362212605926255      2.677072570113391      6.878839044235371
	29       5.22074695913946       6.09127685279369     0.2277373528307157
	30       2.84309086414379      1.285621300805724      6.111166218057164
	31      6.538884185396076      4.892239410234485      2.478944590955209
	32      7.200592209256539       6.39428328361909       5.17794266266099
	33      5.592311293283062       1.03000673862246      4.786820106603798
	34      5.311855785499584     0.2197120518823126      5.331859493227293
	35      5.625818522977942      1.025931128795975     0.1507907139698535
	36      7.116992199890978     0.6546601156924646      5.873826875301651
	37     0.9844898349485587     0.8769232534008109      1.540303497865784
	38      3.579533916530805      2.339047282515013      5.191487874473899
	39      3.847591076099299     0.7672816011345769      7.460845320943004
	40      4.717065521339113      5.839993019590701      5.836953799869299
	41      6.891597573989064      1.648328825172566      2.571077035207561
	42     0.4570700321145826       4.11079683785942      2.027195931614084
	43      7.400070269991335      1.989848757672549        4.0263990656502
	44      3.129716221883871      5.153366347290669      4.923942715080477
	45      7.243276861421666      1.760524384287547      2.243172818520888
	46      6.744896084880986       3.17811987826056      5.617552414012489
	47      7.949900344998633      2.836067029533727      5.358169644288018
	48      2.047268019916279      3.349843235234434      5.079261960588302
	49     0.2066492803753419      6.652563495403946      4.336441010147115
	50      5.657134145843355      2.965276314155927       7.08577542769692
	51      3.060317007748933       5.12201244808524      4.179506045434865
	52      4.157319142589118      2.206382356219727      6.812477780477308
	53      1.770888533667232       7.97825833550619     0.2421465623630313
	54      7.295969672180462        6.2949747251436       6.38159050091087
	55      5.790557077308735      7.527121019726972      1.084821954210735
	56      5.132674395860179      3.447893075579086      4.031322667902256
	57      3.947467852757625      5.386089125707611      4.811179688391241
	58      1.606057163372479      4.331291525535195      3.127755210872207
	59     0.9182136122077468      3.174778179413672     0.8542734188332742
	60      4.824901943443742      1.939171280671323       6.21933478973668

	:                 4                     5                     6  :=
	1    0.002437675402240639      3.600681417993396      1.962425073500053
	2       6.905197313414767       2.51491378551513      5.781414971205245
	3       4.185647126405773     0.3818709597396818      1.002823576734008
	4       7.175834588383373      6.570695918765792      6.303023221218704
	5       1.216922905457781      6.946808247683506      3.633460551697216
	6       5.852805129173412      5.440172423583669      3.698255213090382
	7       5.196439205849484       7.41845193083739      7.061961019092605
	8       3.616377512770355     0.5458887408229878       3.00793004639806
	9        2.30088550714583     0.1745474928955159     0.2705498405769763
	10      3.169432013875307      2.187221930040546      1.187957286746443
	11      4.589873412865782     0.8386124968137328      5.271198536567156
	12      7.875785721936018     0.6807197221303589      4.458898652496195
	13      1.726592383322757      3.973239389859829      2.774197441776931
	14      6.391615934250059      4.245117258138995      7.618362678765132
	15      3.255485121562356      7.823925753392992      2.210710148370674
	16      1.085208854778338      5.926051362431981      5.419252667365398
	17      6.678171964579281      2.864829422840263      7.024362838337143
	18     0.2851554855607576      6.748123213634949     0.7730991544426549
	19      7.583421912939845      3.014414485493868      6.233339826913287
	20      1.509214856505021      3.567569654607396      5.321241005895558
	21      4.870501963762679      7.361385283158817    0.01665536375328566
	22       3.54717817463259      7.014827015241325      3.794955360908085
	23      7.376064150089036      7.434644262011573        3.2037881884644
	24      4.179214291868933      1.346082669382191       4.08939917515727
	25      4.371985886034167      3.372351450423905      7.352717253787361
	26      6.053508853913862       2.89447459428242       2.92688160742001
	27      3.501815124471609      4.017755549217236      7.508595704274055
	28      1.662580383264682       5.89996126979246      3.681609164514465
	29      0.238057352418472     0.1848087496781298      4.051295032710346
	30       1.83658277213059       5.77705236434387      5.860688529065631
	31      6.728457177582496      3.461229873588956      6.910204837318738
	32      5.155580955754939      4.095076715307357      3.839917264703752
	33     0.7365398359089091      5.195915927227812      4.019837900292976
	34      4.418766288612629      1.147869547757394      5.006146998689522
	35      6.476308295492509       5.16635583529386      6.880508245762502
	36       1.64902244166537      1.076989005388341       5.89076438985473
	37       3.78135256532095     0.2297518929830491      7.235128408576545
	38     0.5696282412978451      2.331305592200804      7.992554884796978
	39      4.296056510063164      5.014943213356294      6.183521293003059
	40     0.3668796292808857      1.863954000929032     0.2527606822711987
	41      2.762521510666041     0.9270008650223058     0.7674709135415263
	42      6.347302599865078      7.888331076181421      2.471294708211236
	43      5.458852556499847      2.021915212975086      3.414549773549798
	44      3.884945343575144      3.047000613874119      5.262837667253399
	45     0.4654347587334249      1.978090060407723      3.084796485312622
	46      4.421992961731501      7.820373037069952      7.478417749838734
	47      3.851619153458473      1.200591898495883      3.930559245113291
	48      1.398476996624347      7.942044633157967      6.690355554554459
	49     0.4949425764325384      2.178258894134786      2.898355495537765
	50     0.6977489666892304       5.85174652530182      1.998122933041793
	51      1.376819657454513       2.47915328568639      4.030922806773297
	52      2.547213074907605       7.56559700778401      3.473309864824303
	53      7.131074920530497      6.689324139116558      4.181331456702781
	54      4.557451865181003     0.3586069745730154      7.356215121294763
	55      4.171216122191197      7.469372240941285     0.7313878100148145
	56      2.800718093386267      2.499328681973167      6.979715052910237
	57      4.281548981239275      6.019256362374048      3.414106276294145
	58     0.4203368301359745      5.473173199973599      4.590349582589283
	59      3.596404608760362      2.589754093425272      7.407667992769039
	60       1.33736178503845      4.181872000442267      2.438918590991301

	:                 7                     8                     9  :=
	1       5.763817588810025     0.5845669502075692      7.642180033362115
	2       1.857846766109655       3.48333390699473     0.7439729983012232
	3       0.258890681923161      5.142508914027323       1.65377346021332
	4       7.926976995180668     0.9499037999459252      5.083189540018262
	5       1.952159327804832       6.76561527856916      5.061339213288281
	6      0.3644804647678184      1.244487271963795      6.475471560836867
	7      0.2760312216303245      1.765955263611151    0.05688977783085371
	8       7.046110108614988      1.483530352919926      3.999297193664049
	9       7.450984993816895    0.07386669648485633      1.949121480265428
	10      3.045793486974813      4.061600473623154      6.358119058474419
	11      1.773717115584696       6.70898821389623      6.641628824977231
	12      7.873974940032034      7.309134190355701      6.491242053167606
	13      7.890215091197391      4.684124814454914      4.365173885170844
	14      7.355443190546421      5.810734936652868      1.714624266630387
	15      1.750609955430763      6.651964260488767      3.976505425595087
	16      3.573977488440373      4.163849098004806      1.231161278699817
	17      6.564419417225367       1.64416300174035      3.398670859600591
	18     0.7856386480942102      7.941063367236924      7.064025186834411
	19      7.927279162020803      2.509428887698447    0.09194872319758739
	20     0.5937648969896571      3.004879628133799      7.222492255613489
	21      0.287847130525998      5.659788500678236     0.2505637793273319
	22      2.854139050029752       5.70223952386839      4.264651127282953
	23      1.762934822903659      3.299481257306757      2.413252449328214
	24      3.119940914878641      6.629251792243358      2.825987850075373
	25     0.4083114767273259     0.6294231323405984     0.7411581084647656
	26     0.9958058626560119      3.094249585865522      4.625861099243906
	27      7.066936446444341     0.8557982652981561      6.610500402960952
	28      5.471571184836812      7.082711721341179      3.331760530049065
	29      5.232996221761307      6.234631305641725      2.396855507881982
	30     0.1768193431035364      4.517033840308681       4.96011862087213
	31     0.3330752727415148       3.45115752021675      3.249440780806122
	32       7.35512115826834      6.788218591559469     0.0882429608521846
	33      5.783811465493426      6.500823547722838      2.058784830493981
	34      3.932695152821792       7.37498442934278      4.586142469623832
	35      3.071919683357524      3.227890836796714      0.496861674961472
	36      2.818535614495622      7.745846614215239      1.851283803795659
	37      5.813240982957474      3.609196263477295      1.961709596408737
	38      5.130116579400651      4.665297297761645      4.933313148632715
	39      5.258459111745895      7.654475475175205      5.065030796007473
	40      6.352506079499754     0.5413587939621718      5.216777690809493
	41      5.094287250758814     0.1405786132124892      1.927177877190888
	42      6.932921546473373       1.44897392725968     0.4309976737379267
	43      6.716421656504658       4.82341650202749     0.9465260307608804
	44      7.029971686181789      3.527212865179153      7.699441244736236
	45      5.551928752809543     0.7523419532529699      5.057182362965703
	46      4.464752423671097       0.71199545396927      7.831129515595637
	47      3.203146548657794      4.034613880656459      1.150084433081998
	48      2.101687536102888      6.836610687476173      1.976173881320511
	49      3.838504743965018      2.863933778305757       3.40638489569005
	50      7.951698380913517      3.855968626761458      3.156994176690759
	51      3.542117307773241      5.345228956132909       3.82128235941296
	52      4.225067492798549      7.429043944394709      3.874403799217761
	53      4.511629212438148      5.274775909821466      1.648589035615751
	54     0.3866413638713523     0.6099534706303258      3.953042129072458
	55      7.883255990281843     0.5258476279672269      4.519799758736124
	56     0.5012117235467193      3.377010736037783      1.187044385452248
	57      4.406255491943719      3.104916277495037      1.951287341194286
	58      3.509963644399608      5.498104457930941      7.903285794295093
	59      2.121719770104604      2.580858230999838      1.852809222811384
	60      2.755833959926719       7.89631486315386      7.660789591524536

	:                10                    11                    12  :=
	1        3.10450942551307     0.5421981072560786      2.286424048555693
	2        2.28646770064706      2.359023921691201      3.173878236585921
	3       1.608404102557918      1.994512331660512      7.707797132783761
	4       3.920588702712771      4.693248465976767      6.722839477496322
	5       3.741813750202605      2.680288925124395      2.831238444194037
	6       4.583413581207772      2.760209316256031      3.334876289226671
	7       1.313757110410017      7.722001835921289      7.157735808509459
	8      0.9543262117146923      4.903504341205641       4.43028308368408
	9       1.992064113247173      5.041522436541966      6.453628712938293
	10      2.726546269391436       1.18855288759697      1.573466339902742
	11      4.619703656426211      2.791747472791422      5.424304879181798
	12      4.523188075483763      5.394788478220381      6.210658248989972
	13      7.034366518104842      1.709255453317571      1.930597793121576
	14      1.780100955686834       4.92958872556015      7.267931717124507
	15      6.149502203274376       5.39442794722418      3.836735266867079
	16      0.154751764751928      7.712720557955226      2.232928164448519
	17        5.6910372948347      7.849109731259365      4.271317440740616
	18      1.772347827059577      5.248738423123588      5.517290880182434
	19      7.480635205235077       7.70483898334202      7.033866755141601
	20      6.004518347778388      1.361069922915028      2.524299558632856
	21      7.448712815240216      1.391351884022747      1.666456571671779
	22      5.168767579076126      3.284836557233928    0.04000870400794175
	23      2.060416193549287      3.518198103716909       7.05239239355529
	24      5.450408170820244      7.953375074059321      5.416825988837691
	25      5.077258597872023      7.620108166377458      6.195064245434064
	26      6.636345379277277      7.588694935346022      3.333559534796715
	27      2.537651571748905     0.1569386918323578      4.209905024126504
	28      6.668719226630481      5.154755218735666     0.6650690752526881
	29      6.285934777854179      1.125790417378438      1.094957516694449
	30     0.4794828117384417      2.858389331611283      5.332461845888814
	31      2.359000668472229      5.051198775582337     0.3680280838516685
	32      5.852653048793182      5.313889600337792      4.810299705230899
	33      1.038003768852094      5.669981588692036      6.376813004939848
	34      4.061923783901804      7.263711902557612      3.156459271218071
	35       2.77924699597081      7.335702907938643      7.797888356012397
	36      2.503345273471446      4.617912600693503      5.147422133243741
	37      3.103184980646756      3.533529981397498      4.690433511229224
	38      1.308343490443291      1.476875524730131      3.789011653551161
	39      2.805991648302612      3.384878909619062      6.589027815422002
	40     0.5652531814001097      4.256089129793482      7.639622401851151
	41      3.223666907958613      2.420328990368696      2.368468735529918
	42      0.351953550199237      7.545598879066909      3.091977223461924
	43      2.057637327018399     0.4481547929239284      4.067010878734484
	44      4.345430517518423        2.1031611059025      3.919085107776808
	45      6.071608851799262      1.931271829580621       1.15206059784959
	46      7.258909202366787       1.16342224127964      5.959269358910861
	47      4.303199323382893      2.530530821928312      2.278265439175416
	48      6.698557461944386      6.115588627835304      6.862537102673868
	49       4.08779326592405     0.8603442872991216       6.66274755073627
	50      7.212149689845713      6.185595842689075      7.317298618373615
	51      4.743979900535797      4.065186667335123      1.491742562036416
	52     0.9988206497810118    0.06206650968573391    0.05991144400738017
	53      2.018988655581021      5.621932785281857       6.52414893921289
	54      6.887091052388463      7.130568726062689      5.442896081667497
	55      7.282599351878988      1.369609944160526      6.777965461292882
	56     0.5981496104394601      2.441748779407577     0.5761807100842482
	57      4.165492087769297      7.239206380478775      6.882601576964592
	58      6.761522877683284      3.425012942039912      6.319071897434798
	59     0.6416992929608227      3.484466134820573      6.619039509531136
	60      5.039440864164851      4.020833687024597      7.772736669742768

	:                13                    14                    15  :=
	1        1.33669606639853      7.170360720342638      1.791426296719322
	2       1.406451142344267      2.213572834967631      6.937452904028572
	3       3.724230816617697      4.346991485468411      6.831295814029124
	4       2.127773837712089      1.077192713443579      4.138632484653008
	5       2.612446435381997       5.83039699379471      4.587828586822519
	6       5.462880791675495      2.398328321332628      2.340379907346628
	7       5.119790548425159      1.076494245831618      1.369201929706902
	8       6.544306543834642      4.202341088491918      7.668750119222175
	9       3.641524851067387      2.767177521836473      6.076891791577158
	10      1.351142443854727      2.103096022041921      5.563475476377372
	11      1.594076706838466      4.770309970796199      3.629014703301026
	12      5.637028567813566      5.541343291382544      7.857262536303721
	13       2.39512072764699      3.523422229755687      6.037577081714717
	14      4.847360329031497      4.717315043406156      5.733653166042483
	15      5.059708545818626      5.782396304971563      4.193560883450585
	16      7.460336954746327      3.417336865143191      5.174143284090945
	17      7.979673877659009      7.164583863500561      1.368747955536406
	18      5.550617826108707     0.5157215548118671      3.638765454717352
	19      7.376269715073756        4.6086859052221      2.780835057840437
	20      4.380439531424539      6.540375066618034      1.517987700265404
	21      6.979696410707293      7.766703290460849      4.635191254947141
	22      6.149435507448636      0.906336935925192      1.328215818003016
	23      1.268710559932217      3.861088928693966      7.201646894129058
	24      7.117138734837727      7.397242424218935       7.13619336712133
	25       6.30437627713997      2.208269129968706      2.938356225916056
	26      1.646358161703467      3.012885081065993      1.826815959619548
	27      4.854091166068176       5.56799689623897     0.9271594339645829
	28      3.713878138783976      5.589590288657262      2.363536447235134
	29      2.682463456274738      6.233768107824952      3.578553985726698
	30      3.758874432339308       3.78019166237171      7.285451483661447
	31      3.072289594890858       4.04997000154275      5.770374175342498
	32      2.920294753304289      1.170932194283389      3.873952877786647
	33      4.073944832644091      1.687963770167859      4.163077664639643
	34      5.755616477952508      5.158613168513756      6.098689566181045
	35      3.648404887030888      5.671932907170139      1.519553137698192
	36       7.46357208602313      2.509685672143262      5.507035362152399
	37      2.189447368941571     0.5821198331169443      6.748518845574366
	38      6.873642046077197       5.36076269598123      5.477592659437772
	39      2.168425542613599      7.426060613966426       5.90335762720808
	40     0.2750198295951566      1.772214633969264      3.021188295976379
	41      5.647726397453425      4.186681198093018      5.823256450361305
	42      5.876593750772721       5.31233858366836    0.00570954270621075
	43      6.349106868272231     0.8758265505194354     0.9223544186084952
	44      6.005132046892649      1.658100113603251      1.436368368489998
	45      3.321694292809393     0.6394558976528169      3.351328788062685
	46      3.606858718000546      1.414708178974195       4.50712025194102
	47      5.642894544562531      5.493684382010557      6.133970445539529
	48      6.300126410831326      7.253699215453034      1.590463358575844
	49      7.600213699616496     0.3519000020959079      7.036222299101007
	50      4.349995550946806      7.819315551842652      4.267699929159419
	51      2.127780655766222    0.05640350199315836      6.317331190973729
	52      4.525227569850185       7.98860936237511      1.525735920208647
	53       5.46039001630562      6.619314175534882      2.230558347986305
	54      5.526875401205494     0.9111207587664598      4.234189025719392
	55       3.99960559428705      2.836778527220335      4.869997996668538
	56       2.57360469432115      5.250419683646022      7.403591627799158
	57       7.96375883562142      4.274605713130605      7.996306258628864
	58      5.613300016162295      6.357280635557808      7.530325254910888
	59      3.450095653730116      6.704617871635928      7.320999452246382
	60     0.8891943640001096      6.097033873906573      6.890724662997379

	:                16                    17                    18  :=
	1       7.769809445192066      4.420921106963942     0.7054655411287095
	2       5.284990100838115      6.604780227184849      2.631209839623379
	3       6.864427506446347      7.183735326205528      7.377573880285255
	4       2.058291615058487      5.904881511867153       6.96120073397195
	5        7.89071690906319      3.470541225462039       3.42761594900232
	6       2.178964723344273      3.756256308156887      7.211980358830788
	7       1.656055384852365      7.674146170546591      5.119595918159833
	8       1.955271254283635      7.506870136659098      5.465420555452932
	9       4.240867556216597      6.933379180957333     0.8665412187195431
	10       6.07215988428232       4.67361738566412       7.26029847648855
	11      3.741919274775086     0.4643364815543914      6.607575853890136
	12       2.10402013916109      3.834386089562973      1.388725528874329
	13      1.039559962939335      4.650257847739566      3.420431179859223
	14      6.331656517737432      7.539029848086018      7.311855052452543
	15      4.240603532351939      1.309493207096037      7.874483169933459
	16      4.898637382922558         2.714942816207      5.056743264686888
	17      5.670839850733803     0.7827629927335736     0.1376552345233237
	18      4.412919586141185      3.706345029847896       6.87280026070703
	19      5.827166123740298      1.497416942567609       1.74630459146377
	20       4.73287479960624      7.112791257822407      1.554911542488132
	21      5.351712138931779      6.958515189683241      4.917447579235603
	22      0.926384007072252       5.93267835366396      6.432564584890896
	23      4.032247924413229      4.751474416843843      6.172836733147172
	24      4.711730659476131      3.691182491435194      7.840171692992108
	25       2.83111993805452      3.745356625484433      5.719164611375538
	26      1.402411662242466      1.486517092893365      7.392535606994016
	27     0.3103603220429982      6.105097211856303      5.994991655929756
	28     0.5178586842072553      5.560265363755083      5.516817537585357
	29     0.6575897981517068     0.6521344549624897      6.704127932499823
	30      4.188545885658469      6.466915554761846      4.306711938078883
	31      7.217461904347755      1.055961724779572      2.193599623050783
	32      1.875644338700079      2.418661889826237      4.134838105302579
	33      3.113612829855566      2.031022298836938      7.819488879624351
	34      7.631927069864922      7.026400235303472      7.204841094771737
